loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.40975513458251955,28.300451278686523,1.6372549019607844e-05,3.7254901960784315,190,,,,,,,,,,,
0.5707662582397461,16.82353973388672,1.619607843137255e-05,3.9215686274509802,200,,,,,,,,,,,
,,,4.0,204,0.3793323040008545,0.8333333333333334,0.8118557115517602,0.4476,227.857,29.041,,,,,
0.27251243591308594,13.369406700134277,1.6000000000000003e-05,4.117647058823529,210,,,,,,,,,,,
0.19311094284057617,2.4266297817230225,1.580392156862745e-05,4.313725490196078,220,,,,,,,,,,,
0.33902568817138673,18.08045768737793,1.5607843137254904e-05,4.509803921568627,230,,,,,,,,,,,
0.1762671947479248,3.2731411457061768,1.5411764705882356e-05,4.705882352941177,240,,,,,,,,,,,
0.3944393634796143,38.20452117919922,1.5215686274509804e-05,4.901960784313726,250,,,,,,,,,,,
,,,5.0,255,0.44133129715919495,0.8333333333333334,0.7949719018042,0.4543,224.499,28.613,,,,,
0.3093730449676514,12.35114860534668,1.5019607843137257e-05,5.098039215686274,260,,,,,,,,,,,
0.1724085330963135,23.287254333496094,1.4823529411764707e-05,5.294117647058823,270,,,,,,,,,,,
0.12926206588745118,14.901737213134766,1.4627450980392157e-05,5.490196078431373,280,,,,,,,,,,,
0.06663250923156738,60.05156326293945,1.443137254901961e-05,5.686274509803922,290,,,,,,,,,,,
0.33993446826934814,91.07245635986328,1.423529411764706e-05,5.882352941176471,300,,,,,,,,,,,
,,,6.0,306,0.5343129634857178,0.8431372549019608,0.8283950051902057,0.4539,224.697,28.638,,,,,
0.05655754804611206,0.6844784617424011,1.403921568627451e-05,6.078431372549019,310,,,,,,,,,,,
0.05480856895446777,0.5547967553138733,1.384313725490196e-05,6.2745098039215685,320,,,,,,,,,,,
0.328501296043396,46.51979446411133,1.3647058823529413e-05,6.470588235294118,330,,,,,,,,,,,
0.060890936851501466,0.15842370688915253,1.3450980392156865e-05,6.666666666666667,340,,,,,,,,,,,
0.198073410987854,0.10754203796386719,1.3254901960784314e-05,6.862745098039216,350,,,,,,,,,,,
,,,7.0,357,0.6856361627578735,0.8725490196078431,0.8692141322975835,0.4741,215.148,27.421,,,,,
0.07330998182296752,6.0732502937316895,1.3058823529411766e-05,7.0588235294117645,360,,,,,,,,,,,
0.09300009608268738,3.1357369422912598,1.2862745098039218e-05,7.254901960784314,370,,,,,,,,,,,
0.03413828015327454,0.3370282053947449,1.2686274509803921e-05,7.450980392156863,380,,,,,,,,,,,
0.11099481582641602,0.06601046025753021,1.2490196078431373e-05,7.647058823529412,390,,,,,,,,,,,
0.03639454841613769,31.752872467041016,1.2294117647058826e-05,7.8431372549019605,400,,,,,,,,,,,
,,,8.0,408,0.8712195754051208,0.8431372549019608,0.8384088408840884,0.4617,220.927,28.157,,,,,
0.07050656080245972,3.123871326446533,1.2098039215686274e-05,8.03921568627451,410,,,,,,,,,,,
0.06573355197906494,14.242629051208496,1.1901960784313726e-05,8.235294117647058,420,,,,,,,,,,,
0.0016539990901947021,0.0931689515709877,1.1705882352941178e-05,8.431372549019608,430,,,,,,,,,,,
0.0029653310775756836,0.07918442040681839,1.1509803921568627e-05,8.627450980392156,440,,,,,,,,,,,
0.0029251456260681154,0.041618116199970245,1.131372549019608e-05,8.823529411764707,450,,,,,,,,,,,
,,,9.0,459,0.7779045701026917,0.8627450980392157,0.8429236154666753,0.4622,220.67,28.125,,,,,
0.08813969492912292,0.032869189977645874,1.1117647058823531e-05,9.019607843137255,460,,,,,,,,,,,
0.0011005938053131104,0.024676380679011345,1.092156862745098e-05,9.215686274509803,470,,,,,,,,,,,
0.016301867365837098,38.77391052246094,1.0725490196078432e-05,9.411764705882353,480,,,,,,,,,,,
0.0013308942317962647,0.05012458935379982,1.0529411764705883e-05,9.607843137254902,490,,,,,,,,,,,
0.04713534414768219,315.0846862792969,1.0333333333333335e-05,9.803921568627452,500,,,,,,,,,,,
0.0009772360324859619,0.05608879402279854,1.0137254901960785e-05,10.0,510,,,,,,,,,,,
